slice,value,support,errors,error_rate,false_positives,false_negatives,accuracy,precision,recall,f1
truncation,truncated,41309,207,0.005011014548887652,58,149,0.9949889854511124,0.9963515128640624,0.990680510382787,0.9935079190842089
truncation,not_truncated,5114,31,0.006061791161517403,9,22,0.9939382088384826,0.9954430379746836,0.9889336016096579,0.9921776431995962
word_length_bin,251-500,28572,137,0.004794904101917962,21,116,0.995205095898082,0.9984186746987952,0.9913271028037384,0.99486025135997
word_length_bin,101-250,8004,61,0.007621189405297352,12,49,0.9923788105947027,0.9959798994974874,0.9837855724685639,0.989845180622607
word_length_bin,501-750,7791,33,0.004235656526761648,27,6,0.9957643434732384,0.9805194805194806,0.9956043956043956,0.9880043620501636
word_length_bin,751+,1929,7,0.0036288232244686366,7,0,0.9963711767755313,0.9320388349514563,1.0,0.964824120603015
word_length_bin,0-100,127,0,0.0,0,0,1.0,1.0,1.0,1.0
true_label,human,28447,67,0.002355257144865891,67,0,0.9976447428551342,0.0,0.0,0.0
true_label,AI-generated,17976,171,0.009512683578104138,0,171,0.9904873164218959,1.0,0.9904873164218959,0.9952209273077891
opening_style,opening_question,4859,35,0.007203128215682239,5,30,0.9927968717843177,0.9941656942823804,0.9659863945578231,0.9798734905117884
opening_style,other,36532,191,0.005228293003394284,61,130,0.9947717069966057,0.9960573940020683,0.9916350299208545,0.9938412923612678
opening_style,salutation,5032,12,0.0023847376788553257,1,11,0.9976152623211447,0.9993519118600129,0.9929169349645847,0.9961240310077519
topic,topic_6,3084,9,0.0029182879377431907,1,8,0.9970817120622568,0.9986859395532195,0.9895833333333334,0.9941137998691956
topic,topic_8,2339,6,0.0025651988029072254,1,5,0.9974348011970928,0.9983416252072969,0.9917627677100495,0.9950413223140496
topic,topic_7,5168,23,0.00445046439628483,3,20,0.9955495356037152,0.9964664310954063,0.976905311778291,0.9865889212827988
topic,topic_5,13729,80,0.005827081360623498,24,56,0.9941729186393765,0.9968429360694554,0.9926643961226094,0.9947492780257285
topic,topic_1,8661,89,0.01027594965939268,29,60,0.9897240503406073,0.99131996408261,0.9822064056939501,0.9867421421123194
topic,topic_4,2543,7,0.0027526543452615023,2,5,0.9972473456547385,0.9962894248608535,0.9907749077490775,0.9935245143385754
topic,topic_2,5117,9,0.0017588430721125659,0,9,0.9982411569278874,1.0,0.9950110864745011,0.9974993053626007
topic,topic_3,5782,15,0.002594258042199931,7,8,0.9974057419578001,0.9970612930310663,0.9966428871170793,0.9968520461699895
